duration,rms,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
1.984,0.015236639,0.15657378008021391,-541.51227,52.662807,-11.645652,8.198553,10.718415,-11.9279,-9.920206,-5.988902,-6.204466,-2.6767411,-5.124688,-7.428684,-5.310772,hey_tvs
1.984,0.011853504,0.16444372493315507,-599.71265,66.73148,-19.712925,6.970901,8.525608,-14.90471,-7.1447854,-6.4497366,-7.1382213,-1.5793961,-7.1789618,-9.171617,-6.510363,hey_tvs
1.984,0.011532467,0.1698931525735294,-600.22205,68.93888,-16.67902,7.1595516,10.311247,-13.280804,-9.350856,-7.8518353,-6.0271416,-0.8842669,-7.1446795,-9.512911,-6.695665,hey_tvs
1.984,0.009121762,0.17459579712566844,-623.11206,62.32529,-11.051324,7.396325,7.4256287,-13.981106,-8.049589,-5.7613845,-6.5131965,-2.7797492,-8.41352,-8.519971,-2.7347012,hey_tvs
1.984,0.009441407,0.20197610294117646,-596.6612,50.329876,-7.193581,3.5177674,6.4890966,-8.495776,-8.399817,-6.7002764,-3.9377441,-1.5616504,-7.3465877,-7.623672,-3.1881943,hey_tvs
1.984,0.014032402,0.19109030330882354,-596.68774,66.178154,-18.697939,8.73994,11.473489,-9.717788,-8.722544,-12.696519,-2.0700748,7.512271,-8.895126,-14.492317,-8.780426,hey_tvs
1.984,0.013141224,0.17530080213903743,-585.89276,67.600044,-16.193064,8.350619,11.3332615,-9.205333,-8.54131,-13.153174,-3.3695972,8.844416,-7.122713,-16.482445,-8.929628,hey_tvs
1.984,0.011030733,0.18516826119652408,-605.3856,67.29928,-16.97606,6.9719734,10.644776,-9.128421,-8.048392,-12.608787,-3.588707,8.370985,-7.33161,-17.064468,-9.091124,hey_tvs
1.984,0.008703597,0.1873537767379679,-619.5516,64.9805,-11.633084,4.700259,10.035484,-6.4044614,-9.469186,-13.357886,-3.3219337,6.8565745,-6.9584346,-16.124994,-9.4187565,hey_tvs
1.984,0.009481065,0.1997357536764706,-605.1372,62.00011,-12.731059,5.1772184,9.708054,-7.333963,-9.182264,-12.440592,-3.4528542,5.375515,-7.6006474,-14.407461,-8.277353,hey_tvs
1.984,0.0143290665,0.17243639288101603,-596.1511,72.014694,-16.017374,15.659216,9.681586,-14.018424,-7.1965775,-12.5871935,-3.2507474,5.8569407,-11.089724,-12.760549,-5.0655413,hey_tvs
1.984,0.01692478,0.18389664104278075,-552.2131,68.88744,-14.020186,9.496066,10.365886,-10.642791,-10.360596,-14.071785,-3.1152983,6.4703393,-10.252854,-15.381026,-5.7952905,hey_tvs
